state,count
Alabama,291
Alaska,25
Arizona,46
Arkansas,19
California,308
Colorado,50
Connecticut,49
Delaware,23
Florida,3356
Georgia,358
Hawaii,155
Idaho,3
Illinois,17
Indiana,17
Iowa,25
Kansas,32
Kentucky,29
Louisiana,492
Maine,18
Maryland,18
Massachusetts,52
Michigan,37
Minnesota,42
Mississippi,186
Missouri,34
Montana,23
Nebraska,20
Nevada,13
New Hampshire,11
New Jersey,195
New Mexico,16
New York,520
North Carolina,530
North Dakota,9
Ohio,48
Oklahoma,110
Oregon,18
Pennsylvania,43
Rhode Island,17
South Carolina,308
South Dakota,3
Tennessee,48
Texas,1913
Utah,10
Vermont,12
Virginia,209
Washington,301
West Virginia,36
Wisconsin,22
Wyoming,3
